killing,Open,Close,Neighbors,DToPath,Elevation
0.25,4.15E-13,0.994814,6.97470674,176.7411035,0.009023249
0,6.83E-14,0.996414,7.978434,169.2311096,-0.134561289
0,3.49E-25,0.999281,7.970566,24.6137216,0.028050768
0,8.44E-30,0.999654,7.990858,163.5367961,0.057985573
0,1.79E-23,0.999034,7.978205,250.1288958,0.024633761
0.25,9.42E-31,0.999668,7.982629,113.5062102,0.104575858
1,0.290211,0.686701,3.54067466,20.13912832,0.000822324
0,7.28E-18,0.99787,7.968439,190.0665176,0.004676572
0,4.93E-13,0.995498,7.973274,189.7841338,0.121768915
0,0.00000241,0.993761,7.990398,219.3760164,-0.017947525
0,1.79E-26,0.99934,7.986277,0.082597969,0
0,1.24E-08,0.992247,7.013905,0.025025384,0
0,1.24E-08,0.992247,7.013905,0.025025384,0
0,3.61E-20,0.99834,7.969964,0.075977054,0.075977054
0,0.897315,0.0800253,3.82495039,118.3622355,-0.198022344
0,1.17E-16,0.997505,7.984118,56.0130677,-0.041358373
0,4.40E-24,0.999221,7.987816,12.64394598,0.0052313
0,9.57E-09,0.991667,7.90844,161.5981441,-0.027070495
0,1.69E-24,0.999149,7.929662,122.8539554,0.035376935
0.666666667,1.35E-18,0.998124,7.939981,57.18749159,-0.032354825
0,3.17E-18,0.998135,7.969209,47.30797345,-0.2540221
0.25,2.29E-15,0.996844,7.940579,134.833968,0.002804079
0,7.01E-27,0.999388,6.14851486,78.18957226,-0.048653187
0,9.47E-10,0.992776,7.996458,0.015916051,0
0.25,3.69E-28,0.999536,7.996458,0.015916051,0
0.25,4.60E-17,0.997445,7.266868,0.114914763,0
0,2.75E-24,0.99916,7.983641,0.040728773,0
0,0.000725853,0.983827,4.98314482,129.7600479,-0.482234991
0,5.40E-05,0.984354,5.7400729,116.7462481,-1.073679527
0,2.93e-32,0.999735,7.988231,116.4664125,0.023989156
0.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
0.5,0.961207,0.0104714,3.41861012,85.11469306,-0.018804437
0.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
0.25,0.00702957,0.97367,5.10029088,136.5288009,-1.182952997
0.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
1.0,0.170097,0.80736,6.1246949,28.46974094,-0.026454831
0.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
0.75,0.181611,0.794282,4.54675451,42.12054738,-0.092983881
0.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
1.0,0.000109989,0.986265,6.30188,143.4149203,0.433614642
0.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
0,2.83e-15,0.996972,7.972775,150.9059408,0.064593708
0.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
0.25,0.930932,0.0376885,2.88310021,51.11092165,-0.209415627
0.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
0,5.22e-09,0.99235,6.93841234,100.1168528,-0.882688985
0.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
0.75,0.97814,0.0047201,6.03212013,136.979252,-1.229195319
1.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
0.75,1.06e-16,0.997308,7.987802,136.2222844,-0.139615118
2.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
