unit_name,target_name,unit_x,unit_y,target_x,target_y,visible
blueSoldier,opSoldier,1800,10100,2160,10220,0
blueSoldier,opSoldier,1800,10100,2160,10240,0
blueSoldier,opSoldier,1800,10100,2160,10260,0
blueSoldier,opSoldier,1800,10100,2160,10280,0
blueSoldier,opSoldier,1800,10100,2160,10300,0
blueSoldier,opSoldier,1800,10100,2160,10320,0
blueSoldier,opSoldier,1800,10100,2160,10340,0
blueSoldier,opSoldier,1800,10100,2160,10360,0
blueSoldier,opSoldier,1800,10100,2160,10380,0
blueSoldier,opSoldier,1800,10100,2160,10400,0
blueSoldier,opSoldier,1800,10100,2160,10440,0
blueSoldier,opSoldier,1800,10100,2160,10460,0
blueSoldier,opSoldier,1800,10100,2160,10480,0
blueSoldier,opSoldier,1800,10100,2160,10500,0
blueSoldier,opSoldier,1800,10100,2160,10520,0
blueSoldier,opSoldier,1800,10100,2160,10540,0
blueSoldier,opSoldier,1800,10100,2160,10560,0
blueSoldier,opSoldier,1800,10100,2160,10580,0
blueSoldier,opSoldier,1800,10100,2160,10600,0
blueSoldier,opSoldier,1800,10100,2160,10620,0
blueSoldier,opSoldier,1800,10100,2160,10660,0
blueSoldier,opSoldier,1800,10100,2160,10680,0
blueSoldier,opSoldier,1800,10100,2160,10700,0
blueSoldier,opSoldier,1800,10100,2160,10720,0
blueSoldier,opSoldier,1800,10100,2160,10760,0
blueSoldier,opSoldier,1800,10100,2160,10780,0
blueSoldier,opSoldier,1800,10100,2160,10800,0
blueSoldier,opSoldier,1800,10100,2160,10820,0
blueSoldier,opSoldier,1800,10100,2160,10840,0
blueSoldier,opSoldier,1800,10100,2160,10860,0
blueSoldier,opSoldier,1800,10100,2160,10880,0
blueSoldier,opSoldier,1800,10100,2180,10100,0
blueSoldier,opSoldier,1800,10100,2180,10120,0
blueSoldier,opSoldier,1800,10100,2180,10140,0
blueSoldier,opSoldier,1800,10100,2180,10160,0
blueSoldier,opSoldier,1800,10100,2180,10180,0
blueSoldier,opSoldier,1800,10100,2180,10220,0
blueSoldier,opSoldier,1800,10100,2180,10240,0
blueSoldier,opSoldier,1800,10100,2180,10260,0
blueSoldier,opSoldier,1800,10100,2180,10280,0
blueSoldier,opSoldier,1800,10100,2180,10300,0
blueSoldier,opSoldier,1800,10100,2180,10320,0
blueSoldier,opSoldier,1800,10100,2180,10340,0
blueSoldier,opSoldier,1800,10100,2180,10360,0
blueSoldier,opSoldier,1800,10100,2180,10380,0
blueSoldier,opSoldier,1800,10100,2180,10420,0
blueSoldier,opSoldier,1800,10100,2180,10440,0
blueSoldier,opSoldier,1800,10100,2180,10460,0
blueSoldier,opSoldier,1800,10100,2180,10480,0
blueSoldier,opSoldier,1800,10100,2180,10500,0
blueSoldier,opSoldier,1800,10100,2180,10520,0
blueSoldier,opSoldier,1800,10100,2180,10540,0
blueSoldier,opSoldier,1800,10100,2180,10560,0
blueSoldier,opSoldier,1800,10100,2180,10580,0
blueSoldier,opSoldier,1800,10100,2180,10600,0
blueSoldier,opSoldier,1800,10100,2180,10620,0
blueSoldier,opSoldier,1800,10100,2180,10640,0
blueSoldier,opSoldier,1800,10100,2180,10680,0
blueSoldier,opSoldier,1800,10100,2180,10700,0
blueSoldier,opSoldier,1800,10100,2180,10720,0
blueSoldier,opSoldier,1800,10100,2180,10740,0
blueSoldier,opSoldier,1800,10100,2180,10760,0
blueSoldier,opSoldier,1800,10100,2180,10800,0
blueSoldier,opSoldier,1800,10100,2180,10820,0
blueSoldier,opSoldier,1800,10100,2180,10840,0
blueSoldier,opSoldier,1800,10100,2180,10860,0
blueSoldier,opSoldier,1800,10100,2180,10880,0
blueSoldier,opSoldier,1800,10120,1800,10180,0
blueSoldier,opSoldier,1800,10120,1800,10200,1
blueSoldier,opSoldier,1800,10120,1800,10220,1
blueSoldier,opSoldier,1800,10120,1800,10240,0
blueSoldier,opSoldier,1800,10120,1800,10260,0
blueSoldier,opSoldier,1800,10120,1800,10280,0
blueSoldier,opSoldier,1800,10120,1800,10320,0
blueSoldier,opSoldier,1800,10120,1800,10340,0
blueSoldier,opSoldier,1800,10120,1800,10360,0
